,app_name,genre,size_bytes,rating_count,rating,overall_rc,overall_r,overall_score,genre_rc,genre_r,genre_score,success_score,app_name_length,app_name_words
3116,謎解き2016,Book,15844352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1
3117,机でGOLF,Games,247855104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
3118,BarcodeReader「ICONIT」,Productivity,15440896,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1
3119,Reversi REAL - Multiplayer Board game,Games,62751744,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,5
3120,和我信,Lifestyle,97892352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3121,針の穴,Games,15624192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3122,Tchapper Messenger - Keep it private,Lifestyle,82187264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,5
3123,Golden Lotus Slots,Games,111412224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3
3124,Shark Boom - Challenge Friends with your Pet,Games,245415936,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,7
3125,Go!Go!Cat!,Games,91468800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1
3126,CelebrityCamera!,Entertainment,13538304,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1
3127,LINE BLOG,Social Networking,101159936,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2
3128,Dinosaur Planet,Education,144868352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2
3129,Baby Panda's Bath Time,Education,121712640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4
3130,Malodo : Stop au mal de dos,Medical,15183872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6
3131,Pantheon Warfare: The Chaos of Knights,Games,136615936,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,6
3132,Impots.gouv,Finance,9299968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1
3133,PetitLyrics,Music,40871936,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1
3134,"Emojil - original emoji stamp, decoration camera",Photo & Video,47948800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,6
3135,Spring Festival by BabyBus,Education,89405440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4
3136,CelebrityDiagnosis!,Photo & Video,13968384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1
3137,JCnews - Anime & Game Culture,News,25467904,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4
3138,Kuro no Sekai - It's a Darkness World,Games,90811392,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,6
3139,My au,Utilities,50800640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2
3140,Devil Lord: I shouldn't say that...half of world,Games,96523264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,7
3141,Les Anges,Entertainment,58943488,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2
